image_path,label
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_0.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_10.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_100.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1000.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1001.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1002.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1003.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1004.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1005.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1006.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1007.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1008.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1009.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_101.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1010.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1011.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1012.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1013.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1014.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1015.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1016.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1017.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1018.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1019.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_102.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1020.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1021.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1022.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1023.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1024.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1025.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1026.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1027.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1028.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1029.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_103.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1030.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1031.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1032.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1033.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1034.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1035.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1036.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1037.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1038.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1039.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_104.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1040.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1041.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1042.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1043.png,0
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1044.png,1
C:/Users/somal/OneDrive/Desktop/Capstone_Model/algae_bloom_dataset\train\algae_bloom_1045.png,0
